date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:30:31	18213/18213	---MCZ	200	added ('OK')	image/png	date:Sun,%2001%20Nov%202020%2016:30:30%20GMT	https://w.ladicdn.com/s450x450/5eb0dc7d9b2238094c020bec/s4-20200522115350-1-20200717041055.png	D:/Documents/Clone%20Ladi/Ladi/w.ladicdn.com/s450x450/5eb0dc7d9b2238094c020bec/s4-20200522115350-1-20200717041055.png	(from http://www.sitokata-chinhhang.com/sito-bt-tn)
23:30:31	743101/743101	---MCZ	200	added ('OK')	image/png	date:Sun,%2001%20Nov%202020%2016:30:31%20GMT	https://w.ladicdn.com/s750x550/5eb0dc7d9b2238094c020bec/tai-xuong-20200908040354.png	D:/Documents/Clone%20Ladi/Ladi/w.ladicdn.com/s750x550/5eb0dc7d9b2238094c020bec/tai-xuong-20200908040354.png	(from http://www.sitokata-chinhhang.com/sito-bt-tn)
23:30:31	23845/23845	---MCZ	200	added ('OK')	image/png	date:Sun,%2001%20Nov%202020%2016:30:31%20GMT	https://w.ladicdn.com/s700x450/5ad0203858c2cb43196e76c1/lam-text-02-20200522114520.png	D:/Documents/Clone%20Ladi/Ladi/w.ladicdn.com/s700x450/5ad0203858c2cb43196e76c1/lam-text-02-20200522114520.png	(from http://www.sitokata-chinhhang.com/sito-bt-tn)
23:30:32	523284/523284	---MCZ	200	added ('OK')	image/png	date:Sun,%2001%20Nov%202020%2016:30:31%20GMT	https://w.ladicdn.com/s550x550/5ad0203858c2cb43196e76c1/combo-20200610025145.png	D:/Documents/Clone%20Ladi/Ladi/w.ladicdn.com/s550x550/5ad0203858c2cb43196e76c1/combo-20200610025145.png	(from http://www.sitokata-chinhhang.com/sito-bt-tn)
23:30:32	547711/547711	---MCZ	200	added ('OK')	image/png	date:Sun,%2001%20Nov%202020%2016:30:31%20GMT	https://w.ladicdn.com/s550x550/5ad0203858c2cb43196e76c1/cobo-20200610030259.png	D:/Documents/Clone%20Ladi/Ladi/w.ladicdn.com/s550x550/5ad0203858c2cb43196e76c1/cobo-20200610030259.png	(from http://www.sitokata-chinhhang.com/sito-bt-tn)
23:30:32	279312/279312	---MCZ	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2016:30:31%20GMT	https://w.ladicdn.com/s750x650/5eb0dc7d9b2238094c020bec/untitled-1-20200717032245.jpg	D:/Documents/Clone%20Ladi/Ladi/w.ladicdn.com/s750x650/5eb0dc7d9b2238094c020bec/untitled-1-20200717032245.jpg	(from http://www.sitokata-chinhhang.com/sito-bt-tn)
23:30:32	46044/46044	---MCZ	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2016:30:32%20GMT	https://w.ladicdn.com/s400x400/5eb0dc7d9b2238094c020bec/untitled-1-20200717032245.jpg	D:/Documents/Clone%20Ladi/Ladi/w.ladicdn.com/s400x400/5eb0dc7d9b2238094c020bec/untitled-1-20200717032245.jpg	(from http://www.sitokata-chinhhang.com/sito-bt-tn)
23:30:33	264174/264174	---MCZ	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2016:30:32%20GMT	https://w.ladicdn.com/s750x650/5eb0dc7d9b2238094c020bec/5-20200717032507.jpg	D:/Documents/Clone%20Ladi/Ladi/w.ladicdn.com/s750x650/5eb0dc7d9b2238094c020bec/5-20200717032507.jpg	(from http://www.sitokata-chinhhang.com/sito-bt-tn)
23:30:33	35993/35993	---MCZ	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2016:30:32%20GMT	https://w.ladicdn.com/s400x400/5eb0dc7d9b2238094c020bec/5-20200717032507.jpg	D:/Documents/Clone%20Ladi/Ladi/w.ladicdn.com/s400x400/5eb0dc7d9b2238094c020bec/5-20200717032507.jpg	(from http://www.sitokata-chinhhang.com/sito-bt-tn)
23:30:33	270189/270189	---MCZ	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2016:30:32%20GMT	https://w.ladicdn.com/s750x650/5eb0dc7d9b2238094c020bec/49-20200717030115.jpg	D:/Documents/Clone%20Ladi/Ladi/w.ladicdn.com/s750x650/5eb0dc7d9b2238094c020bec/49-20200717030115.jpg	(from http://www.sitokata-chinhhang.com/sito-bt-tn)
